Name,W,L,ERA,G,GS,SV,IP,H,HR,BB,SO
Gary Gaetti\gaettga01,0,0,0,1,0,0,1,2,0,0,0
Eddie Gaillard\gailled01,0,0,5.87,6,0,0,7.2,4,3,3,5
Steve Gajkowski\gajkost01,0,0,7.27,9,0,0,8.2,14,3,4,3
Rich Garces\garceri01,1,1,3.33,30,0,1,46,36,6,27,34
Mark Gardner\gardnma01,13,6,4.33,33,33,0,212,203,29,65,151
Keith Glauber\glaubke01,0,0,2.35,3,0,0,7.2,6,0,1,4
Tom Glavine*\glavito02,20,6,2.47,33,33,0,229.1,202,13,74,157
Wayne Gomes\gomeswa01,9,6,4.24,71,0,1,93.1,94,9,35,86
Gabe Gonzalez*\gonzaga02,0,0,9,3,0,0,1,1,0,1,0
Geremi Gonzalez\gonzaje01,7,7,5.32,20,20,0,110,124,13,41,70
Lariel Gonzalez\gonzala02,0,0,0,1,0,0,1,0,0,0,0
Dwight Gooden\goodedw01,8,6,3.76,23,23,0,134,135,13,51,83
Tom Gordon\gordoto01,7,4,2.72,73,0,46,79.1,55,2,25,78
Rick Gorecki\gorecri01,1,2,4.86,3,3,0,16.2,15,1,10,7
Mike Grace\gracemi02,4,7,5.48,21,15,0,90.1,116,10,30,46
Danny Graves\graveda01,2,1,3.32,62,0,8,81.1,76,6,28,44
Tyler Green\greenty01,6,12,5.03,27,27,0,159.1,142,23,85,113
Seth Greisinger\greisse01,6,9,5.12,21,21,0,130,142,17,48,66
Buddy Groom*\groombu01,3,1,4.24,75,0,0,57.1,62,4,20,36
Mike Grzanich\grzanmi01,0,0,18,1,0,0,1,1,0,2,1
Eddie Guardado*\guarded01,3,1,4.52,79,0,0,65.2,66,10,28,53
Eric Gunderson*\gundeer01,0,3,5.19,68,1,0,67.2,88,13,19,41
Mark Guthrie*\guthrma01,2,1,3.5,53,0,0,54,56,3,24,45
Juan Guzman\guzmaju01,10,16,4.35,33,33,0,211,193,23,98,168
Juan Guzman\guzmaju01,6,12,4.41,22,22,0,145,133,19,65,113
Juan Guzman\guzmaju01,4,4,4.23,11,11,0,66,60,4,33,55
John Halama*\halamjo01,1,1,5.85,6,6,0,32.1,37,0,13,21
Darren Hall\hallda01,0,3,10.32,11,0,0,11.1,17,2,5,8
Roy Halladay\hallaro01,1,0,1.93,2,2,0,14,9,2,2,13
Shane Halter\haltesh01,0,0,0,1,0,0,1,1,0,0,0
Joey Hamilton\hamiljo02,13,13,4.27,34,34,0,217.1,220,15,106,147
Chris Hammond*\hammoch01,0,2,6.59,3,3,0,13.2,20,3,8,8
Mike Hampton*\hamptmi01,11,7,3.36,32,32,0,211.2,227,18,81,137
Chris Haney*\haneych01,6,6,7.04,38,12,0,102.1,128,20,37,55
Chris Haney*\haneych01,6,6,7.03,33,12,0,97.1,125,18,36,51
Chris Haney*\haneych01,0,0,7.2,5,0,0,5,3,2,1,4
